"","RentRs","RentUSD","Posted.On","BHK","Size","Floor","Apt.Floor","Total.Floor","Area.Type","Area.Locality","City","Furnishing.Status","Tenant.Preferred","Bathroom","Point.of.Contact","Month.Num","Month"
"1",10000,120,2022-05-18,2,1100,"Ground out of 2",1,2,"Super Area","Bandel","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",5,"May"
"2",20000,240,2022-05-13,2,800,"1 out of 3",1,3,"Super Area","Phool Bagan, Kankurgachi","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"3",17000,204,2022-05-16,2,1000,"1 out of 3",1,3,"Super Area","Salt Lake City Sector 2","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"4",10000,120,2022-07-04,2,800,"1 out of 2",1,2,"Super Area","Dumdum Park","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",7,"July"
"5",7500,90,2022-05-09,2,850,"1 out of 2",1,2,"Carpet Area","South Dum Dum","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",5,"May"
"6",7000,84,2022-04-29,2,600,"Ground out of 1",1,1,"Super Area","Thakurpukur","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",4,"April"
"7",10000,120,2022-06-21,2,700,"Ground out of 4",1,4,"Super Area","Malancha","Kolkata","Unfurnished","Bachelors",2,"Contact Agent",6,"June"
"8",5000,60,2022-06-21,1,250,"1 out of 2",1,2,"Super Area","Malancha","Kolkata","Unfurnished","Bachelors",1,"Contact Agent",6,"June"
"9",26000,312,2022-06-07,2,800,"1 out of 2",1,2,"Carpet Area","Palm Avenue Kolkata, Ballygunge","Kolkata","Unfurnished","Bachelors",2,"Contact Agent",6,"June"
"10",10000,120,2022-06-20,2,1000,"1 out of 3",1,3,"Carpet Area","Natunhat","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"11",25000,300,2022-05-23,3,1200,"1 out of 4",1,4,"Carpet Area","Action Area 1, Rajarhat Newtown","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Agent",5,"May"
"12",5000,60,2022-06-07,1,400,"1 out of 1",1,1,"Carpet Area","Keshtopur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent",6,"June"
"13",6500,78,2022-05-14,1,250,"1 out of 4",1,4,"Carpet Area","Tarulia, Keshtopur","Kolkata","Furnished","Bachelors",1,"Contact Owner",5,"May"
